排名,升/降,学校名称,英文名称,省市,类型,总分,办学层次,学科水平,办学资源,师资规模与结构,人才培养,科学研究,服务社会,学术人才,重大项目与成果,国际竞争力
210,-8,中南林业科技大学,Central South University of Forestry & Technology,湖南,林业,160.8,,,,,,,,,,
211,16,北京农学院,Beijing University of Agriculture,北京,农业,160.7,,,,,,,,,,
212,-7,重庆师范大学,Chongqing Normal University,重庆,师范,160.6,,,,,,,,,,
213,7,江西农业大学,Jiangxi Agricultural University,江西,农业,160.5,,,,,,,,,,
213,21,兰州交通大学,Lanzhou Jiaotong University,甘肃,理工,160.5,,,,,,,,,,
215,10,西藏大学,Tibet University,西藏,综合,159.7,,,,,,,,,,
216,19,沈阳工业大学,Shenyang University of Technology,辽宁,理工,159.6,,,,,,,,,,
217,-20,华东交通大学,East China Jiaotong University,江西,理工,159.4,,,,,,,,,,
218,-24,沈阳航空航天大学,Shenyang Aerospace University,辽宁,理工,159.2,,,,,,,,,,
219,13,西安邮电大学,Xi'an University of Posts and Telecommunications,陕西,理工,158.9,,,,,,,,,,
220,20,东华理工大学,East China University of Technology,江西,理工,158.7,,,,,,,,,,
221,-5,东北电力大学,Northeast Electric Power University,吉林,理工,158.6,,,,,,,,,,
222,-33,上海电力大学,Shanghai University of Electric Power,上海,理工,157.9,,,,,,,,,,
223,9,鲁东大学,Ludong University,山东,综合,157.3,,,,,,,,,,
224,-66,国际关系学院,University of International Relations,北京,综合,157.2,,,,,,,,,,
225,-12,大连大学,Dalian University,辽宁,综合,156.9,,,,,,,,,,
226,-40,苏州科技大学,Suzhou University of Science and Technology,江苏,理工,156.4,,,,,,,,,,
227,-27,河北科技大学,Hebei University of Science and Technology,河北,理工,155.9,,,,,,,,,,
228,-18,渤海大学,Bohai University,辽宁,综合,155.8,,,,,,,,,,
229,-18,华北理工大学,North China University of Science and Technology,河北,综合,155.5,,,,,,,,,,
230,58,甘肃农业大学,Gansu Agricultural University,甘肃,农业,155.4,,,,,,,,,,
231,30,北京印刷学院,Beijing Institute of Graphic Communication,北京,理工,154.1,,,,,,,,,,
232,-23,重庆理工大学,Chongqing University of Technology,重庆,理工,153.3,,,,,,,,,,
232,25,西安石油大学,Xi'an Shiyou University,陕西,理工,153.3,,,,,,,,,,
234,-19,海南师范大学,Hainan Normal University,海南,师范,152.8,,,,,,,,,,
235,-4,上海应用技术大学,Shanghai Institute of Technology,上海,理工,151.6,,,,,,,,,,
236,-14,桂林电子科技大学,Guilin University of Electronic Technology,广西,理工,151.2,,,,,,,,,,
237,45,聊城大学,Liaocheng University,山东,综合,150.8,,,,,,,,,,
237,-13,郑州轻工业大学,Zhengzhou University of Light Industry,河南,理工,150.8,,,,,,,,,,
239,-14,武汉轻工大学,Wuhan Polytechnic University,湖北,理工,150,,,,,,,,,,
240,12,安徽建筑大学,Anhui jianzhu University,安徽,理工,149.9,,,,,,,,,,
240,-4,东北石油大学,Northeast Petroleum University,黑龙江,理工,149.9,,,,,,,,,,
242,-23,成都信息工程大学,Chengdu University of Information Technology,四川,理工,149.2,,,,,,,,,,
243,-20,东莞理工学院,Dongguan University of Technology,广东,理工,149,,,,,,,,,,
244,-26,大连交通大学,Dalian Jiaotong University,辽宁,理工,148.1,,,,,,,,,,
245,-6,山东建筑大学,Shandong Jianzhu University,山东,理工,147.5,,,,,,,,,,
246,1,西华师范大学,China West Normal University,四川,师范,147.4,,,,,,,,,,
247,11,西安工程大学,Xi'an Polytechnic University,陕西,理工,147.2,,,,,,,,,,
248,-2,贵州师范大学,Guizhou Normal University,贵州,师范,146.7,,,,,,,,,,
249,17,成都大学,Chengdu University,四川,综合,146.3,,,,,,,,,,
250,13,西安工业大学,Xi'an Technological University,陕西,理工,145.9,,,,,,,,,,
251,,浙大宁波理工学院,NingboTech University,浙江,理工,145.1,,,,,,,,,,
252,-24,佛山科学技术学院,Foshan University,广东,理工,144.6,,,,,,,,,,
253,38,山西农业大学,Shanxi Agricultural University,山西,农业,143.8,,,,,,,,,,
254,-3,青岛理工大学,Qingdao University of Technology,山东,理工,143.6,,,,,,,,,,
255,-14,华北水利水电大学,North China University of Water Resources and Electric Power,河南,理工,143.5,,,,,,,,,,
256,-27,厦门理工学院,Xiamen University of Technology,福建,理工,143.2,,,,,,,,,,
257,-28,北京电子科技学院,Beijing Electronic Science and Technology Institute,北京,理工,142.9,,,,,,,,,,
258,10,南京工程学院,Nanjing Institute of Technology,江苏,理工,142.7,,,,,,,,,,
259,4,北京联合大学,Beijing Union University,北京,综合,142.2,,,,,,,,,,
260,23,长春工业大学,Changchun University of Technology,吉林,理工,141.6,,,,,,,,,,
261,9,辽宁工程技术大学,Liaoning Technical University,辽宁,理工,141.3,,,,,,,,,,
262,3,湖州师范学院,Huzhou University,浙江,师范,141.1,,,,,,,,,,
263,-26,江汉大学,Jianghan University,湖北,综合,140.5,,,,,,,,,,
264,25,辽宁石油化工大学,Liaoning shihua University,辽宁,理工,140.2,,,,,,,,,,
265,77,青海师范大学,Qinghai Normal University,青海,师范,140.1,,,,,,,,,,
266,5,吉林师范大学,Jilin Normal University,吉林,师范,139.9,,,,,,,,,,
267,2,北京石油化工学院,Beijing Institute of Petrochemical Technology,北京,理工,139.7,,,,,,,,,,
267,13,内蒙古师范大学,Inner Mongolia Normal University,内蒙古,师范,139.7,,,,,,,,,,
269,-52,中国民航大学,Civil Aviation University of China,天津,理工,139.1,,,,,,,,,,
270,-21,辽宁工业大学,Liaoning University of Technology,辽宁,理工,138.7,,,,,,,,,,
271,-12,湖南工业大学,Hunan University of Technology,湖南,理工,138.6,,,,,,,,,,
272,44,延安大学,Yan'an University,陕西,综合,138.5,,,,,,,,,,
273,-18,西华大学,Xihua University,四川,综合,138.2,,,,,,,,,,
274,-32,桂林理工大学,Guilin University of Technology,广西,理工,138,,,,,,,,,,
275,1,河北工程大学,Hebei University of Engineering,河北,理工,137,,,,,,,,,,
275,-32,沈阳化工大学,Shenyang University of Chemical Technology,辽宁,理工,137,,,,,,,,,,
277,-4,绍兴文理学院,Shaoxing University,浙江,师范,136.8,,,,,,,,,,
278,9,安徽工程大学,Anhui Polytechnic University,安徽,理工,136.6,,,,,,,,,,
279,13,浙江科技学院,Zhejiang University of Science and Technology,浙江,理工,135.9,,,,,,,,,,
280,26,盐城工学院,Yancheng Institute of Technology,江苏,理工,135,,,,,,,,,,
281,18,盐城师范学院,Yancheng Teachers University,江苏,师范,134.8,,,,,,,,,,
282,-26,山西师范大学,Shanxi Normal University,山西,师范,134.5,,,,,,,,,,
283,11,赣南师范大学,GanNan Normal University,江西,师范,133.9,,,,,,,,,,
284,1,大连海洋大学,Dalian Ocean University,辽宁,农业,133.7,,,,,,,,,,
285,-25,内蒙古工业大学,Inner Mongolia University of Technology,内蒙古,理工,133.6,,,,,,,,,,
286,19,淮阴师范学院,Huaiyin Normal University,江苏,师范,133.3,,,,,,,,,,
287,-33,信阳师范学院,Xinyang Normal University,河南,师范,133.1,,,,,,,,,,
288,8,安庆师范大学,Anqing Normal University,安徽,师范,132.9,,,,,,,,,,
289,-14,合肥学院,Hefei University,安徽,理工,132.8,,,,,,,,,,
290,-9,云南农业大学,Yunnan Agricultural University,云南,农业,132.6,,,,,,,,,,
291,-15,辽宁科技大学,University of Science and Technology Liaoning,辽宁,理工,132.5,,,,,,,,,,
292,-18,南宁师范大学,Guangxi Teachers Education University,广西,师范,132.3,,,,,,,,,,
293,-15,沈阳理工大学,Shenyang Ligong University,辽宁,理工,132.2,,,,,,,,,,
294,24,内蒙古民族大学,Inner Mongolia University for Nationalities,内蒙古,综合,131.3,,,,,,,,,,
295,-33,新疆师范大学,Xinjiang Normal University,新疆,师范,131.2,,,,,,,,,,
296,-18,湖北师范大学,Hubei Normal University,湖北,师范,130.8,,,,,,,,,,
